iter	Passed	Remaining
0	65	65088
1	70	34982
2	74	24831
3	79	19833
4	84	16728
5	88	14729
6	93	13241
7	98	12165
8	102	11294
9	107	10602
10	111	10044
11	116	9591
12	121	9237
13	126	8896
14	131	8606
15	135	8343
16	140	8110
17	145	7916
18	149	7737
19	154	7563
20	158	7410
21	163	7266
22	167	7131
23	172	7014
24	177	6914
25	181	6815
26	186	6722
27	191	6646
28	195	6560
29	201	6510
30	206	6450
31	212	6421
32	217	6360
33	222	6309
34	227	6271
35	232	6221
36	237	6169
37	242	6133
38	246	6083
39	251	6036
40	256	6001
41	262	5988
42	268	5966
43	272	5927
44	277	5895
45	283	5873
46	288	5857
47	295	5859
48	302	5864
49	307	5846
50	313	5826
51	318	5808
52	324	5797
53	329	5780
54	335	5764
55	341	5749
56	346	5739
57	352	5720
58	357	5703
59	363	5691
60	368	5672
61	373	5653
62	378	5631
63	383	5603
64	387	5577
65	392	5557
66	398	5544
67	403	5523
68	407	5505
69	412	5482
70	418	5471
71	422	5447
72	427	5427
73	432	5414
74	437	5400
75	443	5389
76	448	5371
77	452	5352
78	458	5343
79	462	5324
80	467	5306
81	472	5285
82	477	5276
83	483	5269
84	488	5257
85	494	5255
86	499	5239
87	503	5219
88	508	5209
89	513	5194
90	518	5177
91	523	5169
92	528	5155
93	533	5141
94	538	5125
95	543	5118
96	548	5107
97	553	5091
98	558	5084
99	563	5070
100	568	5057
101	573	5047
102	578	5040
103	583	5024
104	588	5012
105	592	4996
106	597	4984
107	601	4971
108	606	4957
109	611	4946
110	616	4936
111	621	4926
112	626	4916
113	631	4905
114	635	4893
115	640	4881
116	645	4870
117	650	4859
118	654	4848
119	659	4838
120	664	4830
121	669	4818
122	674	4807
123	678	4795
124	683	4784
125	688	4773
126	693	4764
127	698	4755
128	702	4745
129	707	4735
130	712	4725
131	716	4714
132	721	4704
133	726	4694
134	731	4684
135	735	4674
136	740	4665
137	745	4654
138	750	4647
139	754	4636
140	759	4629
141	764	4619
142	769	4608
143	774	4601
144	779	4595
145	783	4584
146	788	4576
147	793	4566
148	797	4556
149	802	4546
150	807	4540
151	812	4532
152	817	4525
153	822	4515
154	827	4509
155	831	4500
156	836	4492
157	841	4484
158	846	4475
159	851	4468
160	856	4461
161	861	4455
162	866	4448
163	870	4439
164	875	4432
165	880	4422
166	884	4413
167	891	4413
168	896	4407
169	901	4400
170	907	4399
171	912	4392
172	917	4385
173	922	4378
174	927	4373
175	933	4371
176	941	4377
177	946	4372
178	951	4365
179	957	4361
180	962	4353
181	967	4347
182	972	4343
183	978	4340
184	983	4334
185	991	4338
186	997	4336
187	1002	4330
188	1008	4327
189	1014	4325
190	1019	4320
191	1026	4318
192	1034	4325
193	1039	4320
194	1045	4317
195	1051	4311
196	1056	4308
197	1063	4305
198	1068	4302
199	1074	4297
200	1079	4290
201	1084	4283
202	1089	4278
203	1095	4276
204	1101	4270
205	1107	4268
206	1112	4261
207	1117	4255
208	1123	4250
209	1129	4250
210	1135	4247
211	1140	4240
212	1146	4234
213	1150	4226
214	1156	4221
215	1161	4216
216	1166	4208
217	1171	4202
218	1176	4195
219	1181	4189
220	1186	4181
221	1191	4174
222	1196	4168
223	1201	4160
224	1206	4154
225	1210	4145
226	1215	4139
227	1220	4133
228	1225	4126
229	1230	4120
230	1235	4113
231	1240	4105
232	1245	4100
233	1250	4093
234	1255	4086
235	1259	4078
236	1264	4072
237	1270	4068
238	1275	4059
239	1280	4053
240	1285	4048
241	1290	4043
242	1296	4040
243	1302	4034
244	1307	4028
245	1311	4021
246	1316	4013
247	1321	4005
248	1325	3998
249	1330	3990
250	1335	3983
251	1339	3976
252	1344	3968
253	1348	3961
254	1353	3954
255	1358	3947
256	1363	3941
257	1367	3933
258	1372	3928
259	1377	3921
260	1382	3915
261	1387	3908
262	1392	3902
263	1397	3896
264	1402	3890
265	1407	3883
266	1411	3876
267	1416	3869
268	1422	3865
269	1427	3859
270	1431	3851
271	1436	3843
272	1440	3836
273	1445	3829
274	1450	3823
275	1454	3816
276	1459	3810
277	1464	3804
278	1469	3797
279	1474	3791
280	1478	3784
281	1483	3776
282	1487	3769
283	1492	3763
284	1497	3756
285	1502	3749
286	1506	3743
287	1511	3736
288	1516	3729
289	1520	3722
290	1524	3715
291	1530	3709
292	1535	3704
293	1539	3697
294	1544	3690
295	1549	3684
296	1553	3678
297	1558	3672
298	1563	3665
299	1567	3658
300	1572	3652
301	1577	3645
302	1581	3638
303	1586	3631
304	1591	3625
305	1595	3618
306	1600	3612
307	1604	3605
308	1609	3599
309	1613	3592
310	1618	3585
311	1622	3578
312	1627	3571
313	1631	3565
314	1636	3558
315	1641	3552
316	1645	3545
317	1650	3539
318	1654	3531
319	1659	3525
320	1663	3519
321	1668	3512
322	1673	3506
323	1677	3500
324	1682	3493
325	1686	3486
326	1690	3479
327	1695	3473
328	1700	3467
329	1704	3460
330	1709	3455
331	1714	3449
332	1719	3443
333	1723	3437
334	1728	3430
335	1732	3424
336	1737	3418
337	1742	3412
338	1746	3405
339	1751	3399
340	1755	3393
341	1760	3386
342	1764	3380
343	1769	3374
344	1774	3368
345	1778	3361
346	1783	3356
347	1788	3350
348	1793	3345
349	1797	3338
350	1802	3333
351	1808	3329
352	1813	3323
353	1817	3317
354	1822	3310
355	1828	3307
356	1833	3301
357	1837	3295
358	1842	3289
359	1847	3284
360	1851	3277
361	1856	3271
362	1860	3265
363	1865	3259
364	1869	3252
365	1874	3247
366	1879	3241
367	1883	3235
368	1888	3228
369	1893	3224
370	1898	3218
371	1903	3212
372	1907	3207
373	1913	3202
374	1917	3196
375	1922	3190
376	1926	3184
377	1931	3178
378	1936	3172
379	1940	3165
380	1944	3159
381	1949	3153
382	1953	3147
383	1958	3141
384	1962	3134
385	1966	3128
386	1971	3123
387	1976	3117
388	1981	3111
389	1985	3105
390	1989	3099
391	1994	3093
392	1998	3087
393	2003	3080
394	2007	3075
395	2012	3068
396	2016	3063
397	2021	3057
398	2026	3051
399	2030	3045
400	2034	3039
401	2039	3033
402	2043	3027
403	2047	3021
404	2052	3015
405	2057	3009
406	2061	3003
407	2066	2998
408	2070	2992
409	2075	2986
410	2079	2980
411	2083	2974
412	2088	2968
413	2092	2962
414	2096	2955
415	2101	2950
416	2105	2943
417	2110	2937
418	2114	2932
419	2119	2926
420	2123	2920
421	2128	2915
422	2133	2910
423	2137	2904
424	2142	2898
425	2147	2892
426	2152	2888
427	2156	2882
428	2161	2876
429	2165	2871
430	2170	2865
431	2174	2859
432	2179	2853
433	2183	2847
434	2188	2842
435	2192	2836
436	2196	2830
437	2201	2824
438	2205	2818
439	2210	2813
440	2214	2807
441	2219	2801
442	2223	2795
443	2227	2789
444	2232	2784
445	2237	2779
446	2242	2773
447	2247	2768
448	2251	2763
449	2255	2757
450	2260	2751
451	2264	2745
452	2270	2741
453	2274	2735
454	2279	2729
455	2284	2725
456	2289	2719
457	2293	2714
458	2299	2709
459	2303	2704
460	2309	2699
461	2313	2694
462	2318	2688
463	2323	2683
464	2327	2677
465	2332	2672
466	2336	2667
467	2341	2661
468	2346	2656
469	2350	2650
470	2355	2645
471	2359	2639
472	2363	2633
473	2368	2627
474	2372	2622
475	2376	2616
476	2381	2611
477	2386	2605
478	2390	2600
479	2394	2594
480	2399	2588
481	2403	2583
482	2408	2578
483	2412	2572
484	2417	2566
485	2421	2561
486	2426	2555
487	2430	2550
488	2434	2544
489	2439	2538
490	2444	2533
491	2448	2528
492	2453	2523
493	2457	2517
494	2462	2511
495	2466	2506
496	2470	2500
497	2475	2495
498	2480	2490
499	2484	2484
500	2489	2479
501	2494	2474
502	2498	2468
503	2503	2463
504	2507	2457
505	2511	2452
506	2516	2447
507	2520	2441
508	2524	2435
509	2529	2430
510	2533	2424
511	2538	2419
512	2542	2413
513	2547	2408
514	2551	2403
515	2556	2397
516	2560	2392
517	2565	2386
518	2570	2381
519	2574	2376
520	2578	2370
521	2583	2365
522	2587	2360
523	2592	2354
524	2596	2349
525	2600	2343
526	2605	2338
527	2611	2334
528	2616	2329
529	2621	2324
530	2626	2319
531	2630	2314
532	2636	2309
533	2641	2304
534	2645	2299
535	2650	2294
536	2655	2289
537	2661	2285
538	2666	2280
539	2671	2276
540	2676	2270
541	2680	2265
542	2685	2259
543	2689	2254
544	2694	2249
545	2699	2244
546	2703	2239
547	2708	2233
548	2713	2229
549	2718	2223
550	2722	2218
551	2727	2213
552	2732	2208
553	2737	2203
554	2742	2199
555	2747	2193
556	2751	2188
557	2756	2183
558	2760	2177
559	2765	2172
560	2769	2167
561	2774	2161
562	2778	2156
563	2782	2151
564	2787	2146
565	2792	2140
566	2796	2135
567	2801	2130
568	2805	2125
569	2810	2120
570	2814	2114
571	2819	2109
572	2823	2104
573	2828	2099
574	2833	2094
575	2837	2089
576	2842	2083
577	2847	2078
578	2852	2073
579	2856	2068
580	2861	2063
581	2865	2058
582	2870	2053
583	2875	2048
584	2879	2042
585	2884	2038
586	2889	2033
587	2894	2028
588	2900	2023
589	2905	2018
590	2909	2013
591	2914	2008
592	2918	2003
593	2923	1998
594	2927	1992
595	2932	1987
596	2937	1982
597	2942	1977
598	2946	1972
599	2951	1967
600	2957	1963
601	2961	1958
602	2966	1953
603	2971	1948
604	2975	1942
605	2979	1937
606	2985	1932
607	2989	1927
608	2994	1922
609	2998	1917
610	3003	1912
611	3008	1907
612	3012	1901
613	3017	1897
614	3022	1891
615	3026	1886
616	3030	1881
617	3035	1876
618	3040	1871
619	3045	1866
620	3050	1861
621	3054	1856
622	3059	1851
623	3064	1846
624	3068	1841
625	3073	1836
626	3077	1830
627	3082	1825
628	3087	1820
629	3091	1815
630	3095	1810
631	3100	1805
632	3105	1800
633	3110	1795
634	3114	1790
635	3119	1785
636	3123	1779
637	3128	1774
638	3132	1769
639	3137	1764
640	3141	1759
641	3146	1754
642	3150	1749
643	3155	1744
644	3159	1739
645	3164	1734
646	3169	1729
647	3173	1723
648	3177	1718
649	3183	1713
650	3187	1708
651	3191	1703
652	3196	1698
653	3201	1693
654	3206	1688
655	3210	1683
656	3214	1678
657	3219	1673
658	3224	1668
659	3228	1663
660	3233	1658
661	3237	1653
662	3242	1648
663	3246	1642
664	3251	1637
665	3255	1632
666	3259	1627
667	3264	1622
668	3268	1617
669	3273	1612
670	3278	1607
671	3282	1602
672	3287	1597
673	3292	1592
674	3296	1587
675	3301	1582
676	3305	1577
677	3310	1572
678	3315	1567
679	3320	1562
680	3325	1557
681	3330	1552
682	3334	1547
683	3339	1542
684	3344	1537
685	3349	1533
686	3354	1528
687	3358	1523
688	3363	1518
689	3367	1513
690	3372	1508
691	3376	1502
692	3381	1497
693	3386	1492
694	3390	1487
695	3394	1482
696	3399	1477
697	3403	1472
698	3408	1467
699	3412	1462
700	3417	1457
701	3421	1452
702	3425	1447
703	3430	1442
704	3434	1437
705	3438	1431
706	3442	1426
707	3447	1421
708	3452	1417
709	3456	1411
710	3461	1406
711	3465	1401
712	3470	1396
713	3474	1391
714	3479	1386
715	3483	1381
716	3488	1376
717	3493	1371
718	3497	1366
719	3502	1362
720	3506	1357
721	3511	1352
722	3516	1347
723	3520	1342
724	3525	1337
725	3529	1332
726	3534	1327
727	3538	1322
728	3543	1317
729	3548	1312
730	3552	1307
731	3556	1302
732	3561	1297
733	3566	1292
734	3571	1287
735	3575	1282
736	3580	1277
737	3585	1272
738	3589	1267
739	3594	1262
740	3598	1257
741	3603	1252
742	3607	1247
743	3612	1243
744	3617	1238
745	3622	1233
746	3627	1228
747	3632	1223
748	3636	1218
749	3640	1213
750	3645	1208
751	3650	1203
752	3654	1198
753	3658	1193
754	3663	1188
755	3667	1183
756	3672	1178
757	3676	1173
758	3680	1168
759	3685	1163
760	3689	1158
761	3694	1153
762	3698	1148
763	3703	1143
764	3707	1138
765	3712	1134
766	3716	1129
767	3721	1124
768	3726	1119
769	3730	1114
770	3735	1109
771	3740	1104
772	3744	1099
773	3749	1094
774	3753	1089
775	3758	1085
776	3763	1080
777	3768	1075
778	3773	1070
779	3778	1065
780	3782	1060
781	3787	1055
782	3791	1050
783	3796	1045
784	3800	1040
785	3805	1036
786	3810	1031
787	3814	1026
788	3819	1021
789	3823	1016
790	3827	1011
791	3832	1006
792	3836	1001
793	3841	996
794	3845	991
795	3849	986
796	3854	981
797	3858	976
798	3862	971
799	3867	966
800	3872	961
801	3876	957
802	3881	952
803	3886	947
804	3890	942
805	3896	937
806	3900	932
807	3905	928
808	3909	923
809	3914	918
810	3918	913
811	3923	908
812	3927	903
813	3932	898
814	3936	893
815	3941	888
816	3945	883
817	3950	878
818	3954	873
819	3959	869
820	3963	864
821	3968	859
822	3972	854
823	3977	849
824	3981	844
825	3986	839
826	3990	834
827	3994	829
828	3999	824
829	4004	820
830	4008	815
831	4013	810
832	4017	805
833	4022	800
834	4026	795
835	4031	790
836	4035	785
837	4039	780
838	4044	776
839	4049	771
840	4053	766
841	4058	761
842	4062	756
843	4066	751
844	4071	746
845	4076	742
846	4080	737
847	4085	732
848	4090	727
849	4094	722
850	4099	717
851	4103	712
852	4108	708
853	4112	703
854	4118	698
855	4122	693
856	4126	688
857	4131	683
858	4135	678
859	4140	674
860	4145	669
861	4150	664
862	4154	659
863	4159	654
864	4164	649
865	4169	645
866	4174	640
867	4178	635
868	4183	630
869	4187	625
870	4192	620
871	4196	616
872	4201	611
873	4205	606
874	4209	601
875	4215	596
876	4219	591
877	4224	586
878	4229	582
879	4233	577
880	4238	572
881	4243	567
882	4247	562
883	4252	557
884	4256	553
885	4261	548
886	4265	543
887	4269	538
888	4274	533
889	4279	528
890	4283	524
891	4288	519
892	4293	514
893	4297	509
894	4302	504
895	4306	499
896	4311	495
897	4317	490
898	4322	485
899	4328	480
900	4333	476
901	4338	471
902	4343	466
903	4348	461
904	4353	457
905	4358	452
906	4363	447
907	4367	442
908	4372	437
909	4376	432
910	4382	428
911	4386	423
912	4390	418
913	4395	413
914	4399	408
915	4404	403
916	4408	399
917	4413	394
918	4417	389
919	4422	384
920	4426	379
921	4431	374
922	4436	370
923	4440	365
924	4445	360
925	4450	355
926	4454	350
927	4459	345
928	4464	341
929	4468	336
930	4472	331
931	4477	326
932	4482	321
933	4486	317
934	4491	312
935	4495	307
936	4500	302
937	4505	297
938	4509	292
939	4514	288
940	4519	283
941	4523	278
942	4528	273
943	4533	268
944	4538	264
945	4542	259
946	4547	254
947	4551	249
948	4556	244
949	4560	240
950	4565	235
951	4570	230
952	4574	225
953	4579	220
954	4583	215
955	4588	211
956	4592	206
957	4597	201
958	4601	196
959	4606	191
960	4610	187
961	4615	182
962	4620	177
963	4624	172
964	4629	167
965	4633	163
966	4638	158
967	4642	153
968	4647	148
969	4652	143
970	4656	139
971	4660	134
972	4665	129
973	4669	124
974	4674	119
975	4678	115
976	4683	110
977	4687	105
978	4692	100
979	4697	95
980	4702	91
981	4706	86
982	4711	81
983	4715	76
984	4720	71
985	4724	67
986	4729	62
987	4733	57
988	4738	52
989	4742	47
990	4747	43
991	4751	38
992	4756	33
993	4760	28
994	4765	23
995	4769	19
996	4774	14
997	4779	9
998	4783	4
999	4788	0
